gene,n_methods,methods
adam10,3,"ARACNE,GENIE3,MIIC"
col6a3,3,"ARACNE,GENIE3,MIIC"
eif4e,3,"ARACNE,GENIE3,MIIC"
hsd17b6,3,"ARACNE,GENIE3,MIIC"
itgav,3,"ARACNE,GENIE3,MIIC"
jak1,3,"ARACNE,GENIE3,MIIC"
map2k2,3,"ARACNE,GENIE3,MIIC"
map4,3,"ARACNE,GENIE3,MIIC"
pms2,3,"ARACNE,GENIE3,MIIC"
sf3b1,3,"ARACNE,GENIE3,MIIC"
tnk2,3,"ARACNE,GENIE3,MIIC"
acvr1,2,"GENIE3,MIIC"
arid1a,2,"ARACNE,GENIE3"
arid5b,2,"ARACNE,GENIE3"
casp8,2,"ARACNE,MIIC"
maml1,2,"ARACNE,GENIE3"
map2k1,2,"GENIE3,MIIC"
mapk14,2,"ARACNE,GENIE3"
mapk9,2,"GENIE3,MIIC"
tsc2,2,"ARACNE,MIIC"
